CodParcela,Parcela,N,P,K,Ca,Mg,S,Cu,Mn,Fe,Zn,B,Produção
EST,50,59.36,4.0,22.5,1.8,2.5,3.8,12.7,80.5,34.4,27.0,43.2,4778.0
EST,51,58.80,4.5,23.0,1.9,2.4,3.9,12.7,84.4,28.6,22.6,43.9,4696.9
EST,52,68.32,3.3,22.0,1.7,1.9,3.9,12.8,81.6,37.0,27.4,43.4,4843.5
EST,53,56.84,3.9,23.5,1.9,2.4,3.8,10.5,97.8,34.7,22.9,48.3,3393.2
EST,54,58.80,2.9,23.0,1.9,1.3,3.6,12.2,115.2,34.1,25.0,44.8,3977.9
EST,55,54.88,3.9,23.0,2.0,2.7,4.3,12.1,87.4,37.4,24.5,47.4,4341.3
EST,56,61.88,3.6,16.4,0.9,1.3,3.8,13.4,107.4,28.2,22.3,48.1,4102.7
EST,57,61.32,3.9,19.5,1.6,1.9,3.5,11.0,101.1,37.8,21.7,49.0,4778.0
EST,58,56.28,4.2,22.5,0.9,1.3,3.6,12.6,79.3,34.7,19.4,47.2,4284.3
EST,59,53.20,3.6,26.1,1.1,1.6,3.6,12.4,85.7,36.1,22.6,46.0,4167.0
EST,60,56.00,3.6,22.0,2.4,2.8,3.8,11.9,75.9,33.3,20.5,50.4,3798.5
