CodParcela,Parcela,N,P,K,Ca,Mg,S,Cu,Mn,Fe,Zn,B,Produção
ESC,1,49.94,5.7,23.0,3.5,3.7,8.4,16.6,158.0,37.0,31.6,45.7,5570.1
ESC,3,48.54,5.6,24.9,3.0,3.4,6.0,13.0,254.7,34.8,26.1,38.7,5032.0
ESC,4,48.54,5.5,24.4,2.5,2.9,6.7,14.2,241.4,32.7,27.1,38.9,5528.8
ESC,6,46.85,5.8,23.4,3.5,3.8,6.8,13.6,198.0,37.7,27.6,38.8,4390.7
ESC,8,47.70,6.4,24.4,2.9,3.3,8.1,15.1,169.0,35.3,27.3,41.4,4412.0
ESC,9,49.94,5.2,21.5,3.2,3.8,6.4,12.3,353.1,33.1,25.7,45.4,5460.5
ESC,10,49.66,5.5,24.9,3.1,3.2,5.6,10.5,139.0,33.8,23.6,38.3,5205.0
ESC,11,47.98,5.3,23.9,2.9,3.5,7.0,12.8,112.6,39.1,24.2,39.8,4939.9
ESC,12,47.70,4.9,23.9,2.6,3.2,5.8,12.6,177.9,36.3,23.3,38.7,5579.6
ESC,13,48.54,5.7,21.5,3.0,3.6,7.1,11.8,148.5,38.4,25.9,39.5,5519.3
ESC,14,46.85,5.7,24.9,3.0,3.3,7.3,11.3,113.2,34.4,23.9,39.5,4792.3
ESC,15,47.70,5.6,24.4,2.9,3.4,6.3,13.1,168.9,33.7,24.6,38.2,5225.6
ESC,16,49.94,5.5,23.9,3.7,4.0,6.4,12.8,206.6,33.0,25.4,39.5,4762.1
ESC,17,46.01,5.3,22.5,3.1,3.5,6.4,11.4,118.3,31.4,25.2,40.8,4779.6
ESC,18,53.03,5.5,23.9,3.3,3.5,7.0,12.3,131.6,30.3,25.5,34.2,5027.2
ESC,19,46.85,5.6,24.9,3.3,3.8,7.8,10.3,150.4,31.9,24.2,38.6,4719.3
ESC,20,45.17,5.6,24.9,3.0,3.3,8.3,11.7,126.5,43.1,26.7,42.4,5222.4
ESC,23,44.61,5.8,24.9,3.4,3.9,6.8,10.9,141.0,29.8,28.4,46.0,5608.2
ESC,24,40.12,5.6,23.4,2.8,3.2,6.8,11.5,193.4,33.3,37.1,48.1,5120.8
ST,1,50.96,34.9,0.6,1.6,2.6,35.4,9.5,13.2,20.3,,36.5,4443.3
ST,2,57.68,30.9,0.6,1.7,2.6,35.1,2.2,12.9,15.2,,39.5,4351.7
ST,3,56.28,33.2,0.6,1.8,2.5,32.4,12.5,12.1,13.7,,40.7,4271.7
ST,4,54.32,33.9,0.6,1.7,2.5,34.2,11.1,12.6,15.4,,42.0,4670.0
ST,5,49.84,33.5,0.5,1.5,2.5,18.6,11.0,10.9,26.9,,41.0,4671.7
ST,6,56.00,33.7,0.6,1.7,2.5,33.7,7.8,14.1,22.8,,38.7,4531.7
ST,7,56.42,32.3,0.6,1.9,2.6,35.5,9.0,11.8,30.8,,40.7,4231.7
ST,8,58.52,35.4,0.7,1.8,2.4,35.8,8.7,12.5,17.2,,39.3,3821.7
ST,9,53.48,35.7,0.6,1.7,2.4,40.0,9.4,14.6,21.2,,38.5,4085.0
ST,10,57.96,35.6,0.6,1.6,2.4,22.1,7.7,21.6,21.5,,46.7,3740.0
ST,11,50.68,36.0,0.5,1.7,2.4,34.3,10.7,20.2,22.9,,48.5,3641.7
ST,12,55.72,31.9,0.6,1.5,2.4,32.2,9.6,14.9,11.2,,41.5,3671.7
ST,13,56.56,34.8,0.6,1.6,2.4,28.6,6.5,12.9,29.7,,45.3,3868.3
ST,14,58.80,33.3,0.6,1.5,2.4,35.9,12.1,15.9,30.2,,42.6,3808.3
ST,15,51.66,36.4,0.5,1.6,2.4,36.5,8.8,13.7,12.4,,41.4,4033.3
ST,16,52.08,34.6,0.5,1.5,2.4,36.3,6.7,15.5,18.3,,40.2,4053.3
ST,17,57.96,32.0,0.6,1.7,2.4,32.6,9.7,13.1,25.2,,38.3,4371.7
ST,18,59.36,32.0,0.5,1.5,2.4,32.3,10.4,14.3,7.0,,41.0,4415.0
ST,19,52.08,32.2,0.5,1.7,2.4,33.5,10.7,12.3,26.6,,45.7,3468.3
ST,20,54.88,33.6,0.5,1.7,2.4,29.5,8.9,14.1,6.9,,41.4,3768.3
ST,21,54.32,33.2,0.5,1.7,2.4,35.3,8.1,15.2,11.1,,39.8,3333.3
ST,22,55.16,33.3,0.5,1.5,2.4,34.9,17.4,12.4,9.7,,38.5,3431.7
ST,24,57.68,34.8,0.5,1.7,2.4,33.8,4.2,13.7,22.0,,42.9,3650.0
ST,25,52.36,36.1,0.5,1.6,2.4,32.8,11.8,15.2,11.7,,43.9,3768.3
ST,26,55.58,36.2,0.5,1.7,2.4,35.6,7.8,16.1,15.3,,44.5,3845.0
ST,27,59.92,32.5,0.5,1.6,2.4,38.3,9.4,19.2,27.9,,36.9,4033.3
ST,28,56.56,35.0,0.5,1.7,2.4,38.7,8.3,22.8,9.9,,40.0,3900.0
ST,29,59.92,34.9,0.5,1.6,2.4,34.0,10.2,31.1,8.8,,41.4,3665.0
ST,30,55.16,32.3,0.5,1.2,2.4,38.2,8.5,18.6,13.9,,43.1,3848.3
ST,31,60.48,34.1,0.5,1.7,2.5,35.4,12.7,14.2,13.5,,40.8,4011.7
ST,32,54.88,37.2,0.5,1.6,2.5,30.0,10.9,12.2,11.0,,41.3,4001.7
ST,33,50.40,37.1,0.5,1.5,2.5,30.3,8.5,15.0,0.6,,49.4,3713.7
ST,34,50.40,35.9,0.5,1.8,2.4,34.7,9.4,15.2,9.6,,41.3,3723.3
ST,35,56.56,35.0,0.6,1.7,2.4,32.1,10.1,15.9,16.7,,42.4,3820.0
ST,36,52.64,35.1,0.5,1.7,2.3,38.0,16.7,23.3,30.9,,38.5,4383.3
ST,37,55.44,35.5,0.5,1.7,2.5,31.6,10.6,23.1,18.1,,43.4,4003.3
ST,38,55.16,37.1,0.5,1.7,2.5,40.8,7.7,13.8,10.6,,40.7,3823.3
ST,39,54.60,36.9,0.5,1.9,2.3,33.2,10.0,14.9,15.2,,40.8,4081.7
ST,40,58.80,33.2,0.5,2.0,2.4,38.9,10.1,14.7,19.8,,43.4,4201.7
ST,41,54.60,35.4,0.6,1.8,2.5,40.9,9.7,15.7,14.2,,40.3,3785.0
ST,42,50.40,36.5,0.5,1.7,2.5,27.6,6.8,24.5,15.2,,56.9,3768.3
ST,43,56.70,45.3,0.5,1.9,2.4,38.6,7.0,24.8,10.7,,48.9,3460.0
ST,44,59.08,34.8,0.6,2.4,3.8,36.9,7.5,14.4,7.4,,49.2,3953.3
ST,45,52.36,36.3,0.6,1.6,2.5,31.8,10.9,14.2,17.1,,48.1,4130.0
ST,46,54.04,34.1,0.6,1.8,2.3,35.7,10.9,12.8,21.5,,42.5,3740.0
ST,47,54.04,36.4,0.5,1.9,2.5,38.9,11.6,13.5,13.8,,38.0,3658.3
